,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
1576,1927,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,2006-11-14 10:18:00.0,2006-11-14 10:18:05.0,2006-11-14 10:18:05.0,2006-11-14 10:18:05.0,5.0,5.0,,1,0,0,1,Calculate unit rate,1
1580,1931,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,2006-11-14 10:18:11.0,2006-11-14 10:18:17.0,2006-11-14 10:18:34.0,2006-11-14 10:18:34.0,23.0,,23.0,0,1,0,1,Calculate unit rate,2
1596,1947,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-012,1,SimplifiedNumeratorQuantity1,2006-11-14 10:50:52.0,2006-11-14 10:50:57.0,2006-11-14 10:51:11.0,2006-11-14 10:51:11.0,18.0,,18.0,0,1,0,1,Calculate unit rate,3
1597,1948,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-012,1,SimplifiedNumeratorQuantity2,2006-11-14 10:51:11.0,2006-11-14 10:51:14.0,2006-11-14 10:51:14.0,2006-11-14 10:51:14.0,3.0,3.0,,1,0,0,1,Calculate unit rate,4
1612,1963,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-054,1,SimplifiedNumeratorQuantity2,2006-11-28 09:53:43.0,2006-11-28 09:53:47.0,2006-11-28 09:53:56.0,2006-11-28 09:53:56.0,13.0,,13.0,0,1,0,1,Calculate unit rate,5
1615,1966,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-054,1,SimplifiedNumeratorQuantity1,2006-11-28 09:54:02.0,2006-11-28 09:54:14.0,2006-11-28 09:54:14.0,2006-11-28 09:54:14.0,12.0,12.0,,1,0,0,1,Calculate unit rate,6
1627,1978,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-029,1,SimplifiedNumeratorQuantity2,2006-11-28 10:17:17.0,2006-11-28 10:17:40.0,2006-11-28 10:17:40.0,2006-11-28 10:17:40.0,23.0,23.0,,1,0,0,1,Calculate unit rate,7
1630,1981,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-029,1,SimplifiedNumeratorQuantity1,2006-11-28 10:17:50.0,2006-11-28 10:18:06.0,2006-11-28 10:18:06.0,2006-11-28 10:18:06.0,16.0,16.0,,1,0,0,1,Calculate unit rate,8
1646,1997,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-109,1,SimplifiedNumeratorQuantity2,2006-11-28 10:44:49.0,2006-11-28 10:44:51.0,2006-11-28 10:44:51.0,2006-11-28 10:44:51.0,2.0,2.0,,1,0,0,1,Calculate unit rate,9
1647,1998,745Yh,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-109,1,SimplifiedNumeratorQuantity1,2006-11-28 10:44:51.0,2006-11-28 10:45:06.0,2006-11-28 10:45:06.0,2006-11-28 10:45:06.0,15.0,15.0,,1,0,0,1,Calculate unit rate,10
